<persName n="manual">Aast</persName> or <persName n="manual">Asi</persName>	father of <persName n="rel"><persName n="Amrou" key="ent0365=12">Amrou</persName></persName>	ch51	v09p172	ent0001	persName	father of <persName n="rel"><persName n="Amrou" key="ent0365=12">Amrou</persName></persName>, 
<placeName n="qual1-castle" type="castle">Aazaz</placeName>	castle of	ch51	v09p165	ent0002	placeName	castle of, 
<name>Abactores</name>	<ref type="volpage" target="ch44:v07p378">vii.378 note</ref>.</p>
	ch44	v07p378	ent0003	noclass	
<persName>Aban</persName>	<roleName>Arabian soldier</roleName>	ch51	v09p145	ent0004	persName	<roleName>Arabian soldier</roleName>, death of, 
<placeName n="qual1-colony" type="colony">Abares</placeName>	Scythian colony of	ch34	v06p002	ent0005	placeName	Scythian colony of, in <placeName n="Hungary" key="ent3202=11">Hungary</placeName>, 
<placeName n="qual1-colony" type="colony">Abares</placeName>	Scythian colony of	ch34	v06p012	ent0005	placeName	destroy the Illyrian frontier fortresses, 
<persName n="postrole"><surname>Abbas</surname> <roleName>Shah</roleName></persName>	<ref type="volpage" target="ch42:v07p222">vii.222 and note</ref>.</p>
	ch42	v07p222	ent0006	persName	
<persName n="qual2-son" type="son">Abbas</persName>	son of <persName n="rel">Motassem</persName>	ch52	v09p292	ent0007	persName	son of <persName n="rel">Motassem</persName>, at <placeName n="Amorium" key="ent0358=6">Amorium</placeName>, 
<persName n="qual2-uncle" type="uncle">Abbas</persName>	uncle of <persName n="rel"><persName n="Mahomet the Prophet" key="ent3963=58">Mahomet</persName></persName>	ch50	v09p076	ent0008	persName	uncle of <persName n="rel"><persName n="Mahomet the Prophet" key="ent3963=58">Mahomet</persName></persName>, at the battle of <placeName n="Honain" key="ent3160=3">Honain</placeName>, 
<persName n="qual2-uncle" type="uncle">Abbas</persName>	uncle of <persName n="rel"><persName n="Mahomet the Prophet" key="ent3963=58">Mahomet</persName></persName>	ch51	v09p233	ent0008	persName	posterity of, 
<persName n="qual2-uncle" type="uncle">Abbas</persName>	uncle of <persName n="rel"><persName n="Mahomet the Prophet" key="ent3963=58">Mahomet</persName></persName>	ch51	v09p115	ent0008	persName	rewarded by <persName n="Omar I" key="ent4730=16">Omar</persName>, 
<rs type="family" n="manual">Abbasides</rs>	elevation of the	ch52	v09p258	ent0009	rs-family	elevation of the, 
<rs type="family" n="manual">Abbasides</rs>	elevation of the	ch52	v09p262	ent0009	rs-family	dynasty of, established, 
<rs type="family" n="manual">Abbasides</rs>	elevation of the	ch52	v09p295	ent0009	rs-family	expiration of family of, 
<rs type="family" n="manual">Abbasides</rs>	elevation of the	ch52	v09p305	ent0009	rs-family	fall of the, 
<persName n="qual2-son" type="son">Abd-al-Aziz</persName>	son of <persName n="rel">Musa</persName>	ch51	v09p191	ent0010	persName	son of <persName n="rel">Musa</persName>, treaty of, with <persName n="Theodemir" key="ent6430=2">Theodemir</persName>, 
<persName n="qual2-son" type="son">Abd-al-Aziz</persName>	son of <persName n="rel">Musa</persName>	ch51	v09p192	ent0010	persName	son of <persName n="rel">Musa</persName>, treaty of, with <persName n="Theodemir" key="ent6430=2">Theodemir</persName>, 
<persName n="qual2-son" type="son">Abd-al-Aziz</persName>	son of <persName n="rel">Musa</persName>	ch51	v09p192	ent0010	persName	valour of, 
<persName n="qual2-son" type="son">Abd-al-Aziz</persName>	son of <persName n="rel">Musa</persName>	ch51	v09p222	ent0010	persName	death, 
<persName n="qual1-history" type="history">Abd-al-Balcides</persName>	Abyssinian history of	ch51	v09p172	ent0011	persName	Abyssinian history of, 
<persName n="heur1-defeats">Abdallah</persName>	defeats the Caliph Mervan	ch52	v09p261	ent0012	persName	defeats the Caliph Mervan, 
<persName n="heur1-defeats">Abdallah</persName>	defeats the Caliph Mervan	ch52	v09p262	ent0012	persName	defeats the Caliph Mervan, 
<persName n="qual2-founder" type="founder">Abdallah ibn Maimum al-Kaddah</persName>	founder of the Carmathian movement	ch52	v09p297	ent0013	persName	founder of the Carmathian movement, 
<persName n="qual2-son" type="son">Abdallah</persName>	son of <persName n="rel"><persName n="Abbas" key="ent0008=3">Abbas</persName></persName>	ch50	v09p021	ent0014	persName	son of <persName n="rel"><persName n="Abbas" key="ent0008=3">Abbas</persName></persName>, 
<persName n="qual2-son" type="son">Abdallah</persName>	son of <persName n="rel">Abd-al-Motalleb</persName>	ch50	v09p031	ent0015	persName	son of <persName n="rel">Abd-al-Motalleb</persName>, 
<persName n="qual2-son" type="son">Abdallah</persName>	son of <persName n="rel">Abd-al-Motalleb</persName>	ch50	v09p078	ent0015	persName	death of, at <placeName n="Muta" key="ent4503=1">Muta</placeName>, 
<persName n="qual2-son" type="son">Abdallah</persName>	son of <persName n="rel"><persName n="Jaafar:Jaafar" key="ent3366=1:ent3367=1">Jaafar</persName></persName>	ch51	v09p152	ent0016	persName	son of <persName n="rel"><persName n="Jaafar:Jaafar" key="ent3366=1:ent3367=1">Jaafar</persName></persName>, 
<persName n="qual2-son" type="son">Abdallah</persName>	son of <persName n="rel">Musa</persName>	ch51	v09p221	ent0017	persName	son of <persName n="rel">Musa</persName>, 
<persName n="qual2-son" type="son">Abdallah</persName>	son of <persName n="rel"><persName n="Said" key="ent5686=2">Said</persName></persName>	ch51	v09p192	ent0018	persName	son of <persName n="rel"><persName n="Said" key="ent5686=2">Said</persName></persName>, invades <placeName n="Africa" key="ent0157=43">Africa</placeName>, 
<persName n="qual2-son" type="son">Abdallah</persName>	son of <persName n="rel"><persName n="Said" key="ent5686=2">Said</persName></persName>	ch51	v09p192	ent0018	persName	valour of, 
<persName n="qual2-son" type="son">Abdallah</persName>	son of <persName n="rel"><persName n="Zobeir" key="ent7117=5">Zobeir</persName></persName>	ch51	v09p202	ent0019	persName	son of <persName n="rel"><persName n="Zobeir" key="ent7117=5">Zobeir</persName></persName>, 
<persName>Abd-al-Malek</persName>	<roleName>caliph</roleName>	ch51	v09p202	ent0020	persName	<roleName>caliph</roleName>, conquests of, in <placeName n="Africa" key="ent0157=43">Africa</placeName>, 
<persName n="qual2-grandfather" type="grandfather">Abd-al-Motalleb</persName>	grandfather of <persName n="rel"><persName n="Mahomet the Prophet" key="ent3963=58">Mahomet</persName></persName>	ch50	v09p029	ent0021	persName	grandfather of <persName n="rel"><persName n="Mahomet the Prophet" key="ent3963=58">Mahomet</persName></persName>, 
<persName n="heur1-general">Abd-al-Rahman</persName>	general of Caliph Moawiyah	ch52	v09p238	ent0022	persName	general of Caliph Moawiyah, 
<persName n="qual2-governor" type="governor">Abd-al-Rahman</persName>	<roleName>governor of <placeName>Africa</placeName></roleName> [<date when="0749">A.D.749</date>]	ch51	v09p230	ent0023	persName	<roleName>governor of <placeName>Africa</placeName></roleName> [<date when="0749">A.D.749</date>], 
<persName n="genname"><surname>Abd-al-Rahman</surname> <genName n="3">III.</genName></persName>	<roleName>Caliph of <placeName>Spain</placeName></roleName>	ch52	v09p262	ent0024	persName	<roleName>Caliph of <placeName>Spain</placeName></roleName>, 
<persName n="genname"><surname>Abd-al-Rahman</surname> <genName n="3">III.</genName></persName>	<roleName>Caliph of <placeName>Spain</placeName></roleName>	ch52	v09p266	ent0024	persName	magnificence of, 
<name>Abd-al-Rahman</name>	or Abderame	ch52	v09p252	ent0025	noclass	or Abderame, victories of, 
<name>Abd-al-Rahman</name>	or Abderame	ch52	v09p253	ent0025	noclass	or Abderame, victories of, 
<name>Abd-al-Rahman</name>	or Abderame	ch52	v09p256	ent0025	noclass	defeated by <persName n="Charles Martel" key="ent1535=6">Charles Martel</persName>, 
<name>Abd-al-Rahman</name>	or Abderame	ch52	v09p256	ent0025	noclass	death, 
<persName>Abdas</persName>	<roleName>bishop</roleName>	ch32	v05p329	ent0026	persName	<roleName>bishop</roleName>, destroys the fire temple at <placeName n="Susa" key="ent6240=1">Susa</placeName>, 
<name>Abdication</name>	<persName n="Diocletian" key="ent2148=37">Diocletian</persName>’s	ch13	v02p189	ent0028	noclass	<persName n="Diocletian" key="ent2148=37">Diocletian</persName>’s, 
<name>Abdication</name>	<persName n="Diocletian" key="ent2148=37">Diocletian</persName>’s	ch13	v02p190	ent0028	noclass	<persName n="Diocletian" key="ent2148=37">Diocletian</persName>’s, 
<name>Abélard</name>	<ref type="volpage" target="ch69:v12p079">xii.79 and note</ref>.</p>
	ch69	v12p079	ent0030	noclass	
<persName n="rol4">Abgarus</persName>	last <roleName>King of <placeName>Edessa</placeName></roleName>	ch08	v01p266	ent0031	persName	last <roleName>King of <placeName>Edessa</placeName></roleName>, 
<persName n="genname"><surname>Abgarus</surname> <genName n="5">V.</genName></persName>	<roleName>King of <placeName>Edessa</placeName></roleName>	ch15	v02p341	ent0032	persName	<roleName>King of <placeName>Edessa</placeName></roleName>, 
