1	Roman	188844	2171	2171	13.518267718986909
2	Constantinople	188844	3330	1159	7.216799763383614
3	Italy	188844	4325	995	6.195613256744346
4	Constantine	188844	5310	985	6.1333457868273165
5	Christian	188844	6146	836	5.20556048506359
6	Julian	188844	6968	822	5.118386027179751
7	Greek	188844	7787	819	5.099705786204642
8	Christians	188844	8579	792	4.9315836174286645
9	Hist	188844	9259	680	4.234187954357944
10	Justinian	188844	9848	589	3.6675539781129842
11	Latin	188844	10397	549	3.41848409844487
12	Goths	188844	10930	533	3.318856146577624
13	Egypt	188844	11410	480	2.9888385560173725
14	Asia	188844	11887	477	2.970158315042264
15	Persian	188844	12361	474	2.9514780740671553
16	Europe	188844	12832	471	2.932797833092047
17	Gothic	188844	13302	470	2.926571086100344
18	Mahomet	188844	13770	468	2.914117592116938
19	Gaul	188844	14222	452	2.8144896402496924
20	Theodosius	188844	14671	449	2.795809399274584
21	Africa	188844	15079	408	2.540512772614767
22	French	188844	15452	373	2.3225766279051667
23	Franks	188844	15821	369	2.297669639938355
24	Augustus	188844	16183	362	2.254082410996435
25	Danube	188844	16544	361	2.2478556640047325
26	Christ	188844	16904	360	2.2416289170130295
27	France	188844	17262	358	2.229175423029624
28	Constantius	188844	17619	357	2.222948676037921
29	Zosimus	188844	17962	343	2.1357742181540806
30	Persia	188844	18299	337	2.0984137362038635
31	Turks	188844	18625	326	2.0299195192951323
32	Germany	188844	18948	323	2.0112392783200237
33	Procopius	188844	19270	322	2.0050125313283207
34	Byzantine	188844	19591	321	1.998785784336618
35	Turkish	188844	19912	321	1.998785784336618
36	Huns	188844	20232	320	1.9925590373449151
37	Gregory	188844	20549	317	1.9738787963698066
38	Tillemont	188844	20860	311	1.9365183144195894
39	Gibbon	188844	21167	307	1.9116113264527779
40	John	188844	21467	300	1.868024097510858
41	Syria	188844	21761	294	1.8306636155606408
42	Jerusalem	188844	22043	282	1.7559426516602064
43	Latins	188844	22322	279	1.7372624106850978
44	Muratori	188844	22601	279	1.7372624106850978
45	Arabs	188844	22875	274	1.7061286757265834
46	Spain	188844	23147	272	1.6936751817431779
47	Saracens	188844	23412	265	1.6500879528012578
48	Ammianus	188844	23674	262	1.6314077118261492
49	Jews	188844	23934	260	1.6189542178427434
50	Belisarius	188844	24186	252	1.5691402419091207
51	Alexandria	188844	24430	244	1.5193262659754978
52	Diocletian	188844	24672	242	1.506872771992092
53	Alexander	188844	24901	229	1.4259250610999548
54	Valentinian	188844	25125	224	1.3947913261414406
55	Greece	188844	25349	224	1.3947913261414406
56	Hist_August	188844	25569	220	1.369884338174629
57	Eccles	188844	25789	220	1.369884338174629
58	Attila	188844	26007	218	1.3574308441912235
59	Annal	188844	26223	216	1.3449773502078177
60	Italian	188844	26438	215	1.3387506032161147
61	Ducange	188844	26648	210	1.3076168682576006
62	Vit	188844	26856	208	1.2951633742741948
63	Persians	188844	27063	207	1.288936627282492
64	Germans	188844	27264	201	1.2515761453322747
65	Vandals	188844	27460	196	1.2204424103737606
66	Sicily	188844	27652	192	1.195535422406949
67	English	188844	27843	191	1.1893086754152462
68	Carthage	188844	28034	191	1.1893086754152462
69	Alps	188844	28223	189	1.1768551814318404
70	Britain	188844	28411	188	1.1706284344401376
71	Arabian	188844	28597	186	1.1581749404567319
72	Eusebius	188844	28782	185	1.151948193465029
73	Theodoric	188844	28963	181	1.1270412054982175
74	German	188844	29143	180	1.1208144585065147
75	Rhine	188844	29323	180	1.1208144585065147
76	Tacitus	188844	29501	178	1.108360964523109
77	Euphrates	188844	29677	176	1.0959074705397034
78	Milan	188844	29848	171	1.064773735581189
79	Ravenna	188844	30018	170	1.058546988589486
80	Caesar	188844	30188	170	1.058546988589486
81	Athanasius	188844	30358	170	1.058546988589486
82	Armenia	188844	30519	161	1.0025062656641603
83	Cæsar	188844	30680	161	1.0025062656641603
84	Libanius	188844	30841	161	1.0025062656641603
85	Athens	188844	31001	160	0.9962795186724576
86	Honorius	188844	31158	157	0.977599277697349
87	Chosroes	188844	31315	157	0.977599277697349
88	Palestine	188844	31471	156	0.9713725307056461
89	Charlemagne	188844	31624	153	0.9526922897305375
90	Ammian	188844	31776	152	0.9464655427388347
91	Mecca	188844	31927	151	0.9402387957471318
92	Koran	188844	32078	151	0.9402387957471318
93	African	188844	32227	149	0.9277853017637261
94	Heraclius	188844	32375	148	0.9215585547720232
95	Abulfeda	188844	32523	148	0.9215585547720232
96	Arabia	188844	32670	147	0.9153318077803204
97	Tigris	188844	32813	143	0.890424819813509
98	Thrace	188844	32955	142	0.8841980728218061
99	Aurelian	188844	33094	139	0.8655178318466975
100	Lombards	188844	33233	139	0.8655178318466975
101	Chron	188844	33372	139	0.8655178318466975
102	Baronius	188844	33511	139	0.8655178318466975
103	Alexius	188844	33649	138	0.8592910848549946
104	Valens	188844	33785	136	0.8468375908715889
105	Maximin	188844	33919	134	0.8343840968881832
106	Claudian	188844	34053	134	0.8343840968881832
107	D’Herbelot	188844	34187	134	0.8343840968881832
108	Moslems	188844	34321	134	0.8343840968881832
109	Mem	188844	34454	133	0.8281573498964804
110	Jornandes	188844	34587	133	0.8281573498964804
111	Nicephorus	188844	34719	132	0.8219306029047775
112	Trajan	188844	34850	131	0.8157038559130746
113	Basil	188844	34981	131	0.8157038559130746
114	Theophanes	188844	35112	131	0.8157038559130746
115	Vatican	188844	35240	128	0.797023614937966
116	Hadrian	188844	35367	127	0.7907968679462631
117	Pliny	188844	35492	125	0.7783433739628575
118	Sozomen	188844	35617	125	0.7783433739628575
119	St_Peter	188844	35742	125	0.7783433739628575
120	Stilicho	188844	35866	124	0.7721166269711546
121	St_Martin	188844	35990	124	0.7721166269711546
122	Clovis	188844	36112	122	0.7596631329877489
123	Naples	188844	36234	122	0.7596631329877489
124	Venice	188844	36356	122	0.7596631329877489
125	Cicero	188844	36477	121	0.753436385996046
126	Arian	188844	36597	120	0.7472096390043431
127	England	188844	36717	120	0.7472096390043431
128	Pagi	188844	36837	120	0.7472096390043431
129	Socrates	188844	36956	119	0.7409828920126403
130	Zonaras	188844	37075	119	0.7409828920126403
131	Alaric	188844	37193	118	0.7347561450209374
132	Michael	188844	37311	118	0.7347561450209374
133	Eutropius	188844	37427	116	0.7223026510375317
134	Sapor	188844	37542	115	0.7160759040458289
135	Alemanni	188844	37656	114	0.709849157054126
136	Bosphorus	188844	37770	114	0.709849157054126
137	Galerius	188844	37883	113	0.7036224100624231
138	Theodora	188844	37996	113	0.7036224100624231
139	Syrian	188844	38109	113	0.7036224100624231
140	Paul	188844	38222	113	0.7036224100624231
141	Damascus	188844	38334	112	0.6973956630707203
142	Jewish	188844	38446	112	0.6973956630707203
143	Justin	188844	38556	110	0.6849421690873145
144	Andronicus	188844	38666	110	0.6849421690873145
145	Timour	188844	38775	109	0.6787154220956118
146	Lactantius	188844	38884	109	0.6787154220956118
147	Charles	188844	38992	108	0.6724886751039089
148	Hellespont	188844	39100	108	0.6724886751039089
149	Manuel	188844	39207	107	0.666261928112206
150	Grecian	188844	39313	106	0.6600351811205031
151	William	188844	39419	106	0.6600351811205031
152	Herodian	188844	39525	106	0.6600351811205031
153	Jerom	188844	39630	105	0.6538084341288003
154	Normans	188844	39734	104	0.6475816871370974
155	Euxine	188844	39838	104	0.6475816871370974
156	Marcellinus	188844	39941	103	0.6413549401453945
157	Orosius	188844	40043	102	0.6351281931536917
158	Plato	188844	40145	102	0.6351281931536917
159	Moses	188844	40247	102	0.6351281931536917
160	Arabic	188844	40349	102	0.6351281931536917
161	India	188844	40450	101	0.6289014461619888
162	Maximian	188844	40550	100	0.622674699170286
163	D’Anville	188844	40650	100	0.622674699170286
164	Homer	188844	40750	100	0.622674699170286
165	Visigoths	188844	40849	99	0.6164479521785831
166	Scythia	188844	40948	99	0.6164479521785831
167	Nile	188844	41047	99	0.6164479521785831
168	Claudius	188844	41145	98	0.6102212051868803
169	Marcus	188844	41243	98	0.6102212051868803
170	Italians	188844	41341	98	0.6102212051868803
171	Chinese	188844	41438	97	0.6039944581951774
172	Tertullian	188844	41535	97	0.6039944581951774
173	Asiatic	188844	41631	96	0.5977677112034745
174	Plin	188844	41727	96	0.5977677112034745
175	Panegyr	188844	41823	96	0.5977677112034745
176	Ali	188844	41919	96	0.5977677112034745
177	Antonines	188844	42014	95	0.5915409642117717
178	Philip	188844	42109	95	0.5915409642117717
179	Chrysostom	188844	42204	95	0.5915409642117717
180	Antoninus	188844	42299	95	0.5915409642117717
181	Tyber	188844	42394	95	0.5915409642117717
