Aast	ch51	v09p172	ent0001	(Asi), father of <persName n="rel">Amrou</persName>, 
Aazaz	ch51	v09p165	ent0002	castle of, 
Abactores	ch44	v07p378	ent0003	
Aban	ch51	v09p145	ent0004	death of, 
Abares	ch34	v06p002	ent0005	Scythian colony of, in Hungary, 
Abares	ch34	v06p012	ent0005	<p>destroy the Illyrian frontier fortresses, 
Abbas Shah	ch42	v07p222	ent0006	
Abbas	ch52	v09p292	ent0007	son of <persName n="rel">Motassem</persName>, at Amorium, 
Abbas	ch50	v09p076	ent0008	uncle of <persName n="rel">Mahomet</persName>, at the battle of Honain, 
Abbas	ch51	v09p233	ent0008	<p>posterity of, 
Abbas	ch51	v09p115	ent0008	<p>rewarded by Omar, 
Abbasides	ch52	v09p258	ent0009	elevation of the, 
Abbasides	ch52	v09p262	ent0009	<p>dynasty of, established, 
Abbasides	ch52	v09p295	ent0009	<p>expiration of family of, 
Abbasides	ch52	v09p305	ent0009	<p>fall of the, 
Abd-al-Aziz	ch51	v09p191	ent0010	son of <persName n="rel">Musa</persName>, treaty of, with Theodemir, 
Abd-al-Aziz	ch51	v09p192	ent0010	<p>valour of, 
Abd-al-Aziz	ch51	v09p222	ent0010	<p>death, 
Abd-al-Balcides	ch51	v09p172	ent0011	Abyssinian history of, 
Abdallah defeats the Caliph Mervan	ch52	v09p261	ent0012	
Abdallah ibn Maimum al-Kaddah	ch52	v09p297	ent0013	founder of the Carmathian movement, 
Abdallah	ch50	v09p021	ent0014	son of <persName n="rel">Abbas</persName>, 
Abdallah	ch50	v09p031	ent0015	son of <persName n="rel">Abd-al-Motalleb</persName>, 
Abdallah	ch50	v09p078	ent0015	<p>death of, at Muta, 
Abdallah	ch51	v09p152	ent0016	son of <persName n="rel">Jaafar</persName>, 
Abdallah	ch51	v09p221	ent0017	son of <persName n="rel">Musa</persName>, 
Abdallah	ch51	v09p192	ent0018	son of <persName n="rel">Said</persName>, invades Africa, 
Abdallah	ch51	v09p192	ent0018	<p>valour of, 
Abdallah	ch51	v09p202	ent0019	son of <persName n="rel">Zobeir</persName>, 
Abd-al-Malek	ch51	v09p202	ent0020	conquests of, in Africa, 
Abd-al-Motalleb	ch50	v09p029	ent0021	grandfather of <persName n="rel">Mahomet</persName>, 
Abd-al-Rahman	ch52	v09p238	ent0022	general of Caliph Moawiyah, 
Abd-al-Rahman	ch51	v09p230	ent0023	<roleName>governor of <placeName>Africa</placeName></roleName> [<date when="0749">A.D.749</date>], 
Abd-al-Rahman III.	ch52	v09p262	ent0024	
Abd-al-Rahman III.	ch52	v09p266	ent0024	<p>magnificence of, 
Abd-al-Rahman	ch52	v09p252	ent0025	or Abderame, victories of, 
Abd-al-Rahman	ch52	v09p256	ent0025	<p>defeated by Charles Martel, 
Abd-al-Rahman	ch52	v09p256	ent0025	<p>death, 
Abdas	ch32	v05p329	ent0026	destroys the fire temple at Susa, 
Abdication	ch13	v02p189	ent0028	Diocletian’s, 
Abélard	ch69	v12p079	ent0030	
Abgarus	ch08	v01p266	ent0031	last <roleName>King of <placeName>Edessa</placeName></roleName>, 
Abgarus V.	ch15	v02p341	ent0032	
Abgarus V.	ch49	v08p313	ent0032	<p>correspondence of with Christ, 
Abibas	ch28	v05p100	ent0033	son of <persName n="rel">Gamaliel</persName>, body of, exhumed, 
Ablavius	ch18	v03p180	ent0034	(Ablabius), 
Ablavius	ch18	v03p192	ent0034	(Ablabius), 
Ablavius	ch18	v03p194	ent0034	<p>death of, 
Ablavius	ch21	v03p378	ent0034	<p>Praetorian Prefect, 
Ablavius	ch24	v04p120	ent0034	<p>Praetorian Prefect, 
