ch01pa01se001	INT	Introduction	chap1	IN the second century of the Christian
ch01pa01se007	notarg	(A.D. 98-180)	chap1	of more than fourscore
ch01pa02se001	MOD	Moderation of Augustus	chap1	The principal conquests of the Romans were
ch01pa04se001	IMI	Imitated by his successors	chap1	Happily for the repose of mankind, the
ch01pa05se001	CNB	Conquest of Britian was the first exception to it	chap1	The only accession which the Roman empire
ch01pa07se001	CND	Conquest of Dacia; the second exception	chap1	Such was the state of the Roman
ch01pa08se001	CNT	Conquest of Trajan in the east	chap1	Trajan was ambitious of fame; and as
ch01pa09se001	RES	Resigned by his successor Hadrian	chap1	It was an ancient tradition that, when
ch01pa10se001	CNH	Contrast of Hadrian and Antoninus Pius	chap1	The martial and ambitious spirit of Trajan
ch01pa11se001	PAC	Pacific system of Hadrian and the two Antonines	chap1	Notwithstanding this difference in their personal conduct,
ch01pa12se001	DEF	Defensive wars of Marcus Antoninus	chap1	The terror of the Roman arms added
ch01pa13se001	MIL	Military establishment of the Roman Emperors	chap1	In the purer ages of the commonwealth,
ch01pa14se001	DIS	Discipline	chap1	That public virtue, which among the ancients
ch01pa15se001	EXE	Exercise	chap1	And yet so sensible were the Romans
ch01pa16se001	LEG	The legions under the emperors	chap1	Nine centuries of war had gradually introduced
ch01pa16se007	ARM	Arms	chap1	Their arms were uniform,
ch01pa17se001	CAV	Cavalry	chap1	The cavalry, without which the force of
ch01pa18se001	AUX	Auxiliaries	chap1	The safety and honour of the empire
ch01pa18se008	ART	Artillery	chap1	Nor was the legion
ch01pa19se001	ENC	Encampment	chap1	The camp of a Roman legion presented
ch01pa20se001	MAR	March	chap1	Whenever the trumpet gave the signal of
ch01pa21se001	NUM	Number and disposition of the legions	chap1	Such were the arts of war, by
ch01pa22se001	NAV	Navy	chap1	The navy maintained by the emperors might
ch01pa22se011	AMT	Amount of the whole establishment	chap1	this general state of
ch01pa23se001	VIE	View of the provinces of the Roman empire	chap1	We have attempted to explain the spirit
ch01pa24se001	SPA	Spain	chap1	Spain, the western extremity of the empire,
ch01pa25se001	GAU	Gaul	chap1	Ancient Gaul, as it contained the whole
ch01pa26se001	BRI	Britain	chap1	We have already had occasion to mention
ch01pa27se001	ITA	Italy	chap1	Before the Roman conquest, the country which
ch01pa28se001	DAN	The Danube and Illyrian frontier	chap1	The European provinces of Rome were protected
ch01pa29se001	RHA	Rhaetia	chap1	The province of Rhaetia, which soon extinguished
ch01pa30se001	NOR	Noricum and Pannonia	chap1	The wide extent of territory which is
ch01pa31se001	DAL	Dalmatia	chap1	Dalmatia, to which the name of Illyricum
ch01pa32se001	MAE	Moesia and Dacia	chap1	After the Danube had received the waters
ch01pa33se001	THR	Thrace, Macedonia, and Greece	chap1	The appellation of Roumelia, which is still
ch01pa34se001	ASI	Asia Minor	chap1	Such was the state of Europe under
ch01pa35se001	SYR	Syria, Phoenicia, and Palestine	chap1	Under the successors of Alexander, Syria was
ch01pa36se001	EGY	Egypt	chap1	The geographers of antiquity have frequently hesitated
ch01pa37se001	AFR	Africa	chap1	From Cyrene to the ocean, the coast
ch01pa38se001	MED	The Mediterranean with its islands	chap1	Having now finished the circuit of the
ch01pa39se001	GEN	General idea of the Roman empire	chap1	This long enumeration of provinces, whose broken
ch02pa01se001	PRI	Principles of government.	chap2	IT is not alone by the rapidity
ch02pa02se001	UNI	Universal spirit of toleration.	chap2	The policy of the emperors and the
ch02pa03se001	PEO	Of the people.	chap2	The superstition of the people was not
ch02pa04se001	PHI	Of philosophers.	chap2	The philosophers of Greece deduced their morals
ch02pa06se001	MAG	Of the magistrate.	chap2	It is not easy to conceive from
ch02pa06se008	PRO	In the provinces;.	chap2	climate and to its
ch02pa07se001	ROM	At Rome.	chap2	Rome, the capital of a great monarchy,
ch02pa08se001	FRE	Freedom of Rome.	chap2	The narrow policy of preserving, without any
ch02pa09se001	ITA	Italy.	chap2	Till the privileges of Romans had been
ch02pa10se001	PRV	The Provinces.	chap2	as they have been described in the
ch02pa11se001	COL	Colonies and municipal towns.	chap2	is a very just observation of Seneca,
ch02pa12se001	DIV	Division of the Latin and Greek provinces.	chap2	So sensible were the Romans of the
ch02pa13se001	GEN	General use of both languages.	chap2	It is a just though trite observation,
ch02pa14se001	SLA	Slaves.	chap2	It was by such institutions that the
ch02pa14se005	TRE	Their treatment.	chap2	The slaves consisted, for
ch02pa15se001	ENF	Enfranchisement.	chap2	Hope, the best comfort of our imperfect
ch02pa16se001	NUM	Numbers.	chap2	It was once proposed to discriminate the
ch02pa17se001	POP	Populousness of the Roman empire.	chap2	The number of subjects who acknowledged the
ch02pa18se001	OBD	Obedience and union.	chap2	Domestic peace and union were the natural
ch02pa19se001	MON	Roman monuments.	chap2	Among the innumerable monuments of architecture constructed
ch02pa20se001	MAN	Many of them erected at private expense.	chap2	It is natural to suppose that the
ch02pa21se001	HER	Example of Herodes Atticus.	chap2	The family of Herod, at least after
ch02pa22se001	REP	His reputation.	chap2	The ablest preceptors of Greece and Asia
ch02pa23se001	MOS	Most of the Roman monuments for public use; temples, theatres aqueducts etc.	chap2	In the commonwealths of Athens and Rome,
ch02pa24se001	NMB	Number and greatness of the cities of the empire.	chap2	We have computed the inhabitants and contemplated
ch02pa24se004	INI	In Italy.	chap2	ninety-seven cities; and, for
ch02pa24se010	GAU	Gaul and Spain.	chap2	boast of her twelve
ch02pa24se014	AFR	Africa.	chap2	once acknowledged the authority
ch02pa24se015	ASI	Asia.	chap2	provinces of the East
ch02pa25se001	RRD	Roman Roads.	chap2	All these cities were connected with each
ch02pa25se008	PST	Posts.	chap2	earliest intelligence, and of
ch02pa25se011	NAV	 Navigation 	chap2	communication of the Roman
ch02pa26se001	IMP	Improvement of agriculture in the western countries of the empire.	chap2	Whatever evils either reason or declamation have
ch02pa26se005	INT	Introduction of fruits etc.	chap2	herbs, and the fruits
ch02pa26se005	VIN	 The vine.	chap2	island of Sicily and
ch02pa26se008	OLI	The olive,	chap2	followed the progress of
ch02pa26se010	FLA	flax	chap2	enriched the whole country,
ch02pa26se010	GRA	artificial grasses	chap2	artificial grasses became familiar
ch02pa26se013	PLN	General plenty	chap2	the infant republic were
ch02pa27se001	LUX	Arts of luxury	chap2	Agriculture is the foundation of manufactures; since
ch02pa28se001	TRA	Foreign trade	chap2	But it is no easy task to
ch02pa28se012	GLD	Gold and silver 	chap2	contented with the productions
ch02pa29se001	FEL	General felicity	chap2	Notwithstanding the propensity of mankind to exalt
ch02pa30se001	COU	Decline of courage	chap2	It was scarcely possible that the eyes
ch02pa31se001	GNS	of genius	chap2	The love of letters, almost inseparable from
ch02pa32se001	DEG	Degeneracy	chap2	The sublime Longinus, who in somewhat a
ch03pa01se001	IDE	Idea of a monarchy.	chap3	THE obvious definition of a monarchy seems
ch03pa02se001	SIT	Situation of Augustus.	chap3	Every barrier of the Roman constitution had
ch03pa03se001	REF	He reforms the senate.	chap3	The reformation of the senate was one
ch03pa04se001	RES	Resigns his usurped powers.	chap3	Before an assembly thus modelled and prepared,
ch03pa05se001	PRE	Is prevailed upon to resume it under the title of Emperor or General.	chap3	It would require the pen of Tacitus
ch03pa06se001	POW	Power of the Roman generals.	chap3	Without any violation of the principles of
ch03pa07se001	LIE	Lieutenants of the emperor.	chap3	From what has been already observed in
ch03pa08se001	DIV	Division of the provinces between the emperor and the senate.	chap3	Within six days after Augustus had been
